Project_ID,Model,Field,Row_Count,Delete_Action,Risk_Class
1,core.ProjectAssignment,project,1,DELETE_WITH_PROJECT,CASCADE
2,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
4,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
5,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
6,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
7,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
8,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
9,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
10,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
11,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
12,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
13,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
15,core.ProjectAssignment,project,0,DELETE_WITH_PROJECT,CASCADE
1,projects.BudgetItem,project,0,DELETE_WITH_PROJECT,CASCADE
2,projects.BudgetItem,project,1,DELETE_WITH_PROJECT,CASCADE
4,projects.BudgetItem,project,5,DELETE_WITH_PROJECT,CASCADE
5,projects.BudgetItem,project,1,DELETE_WITH_PROJECT,CASCADE
6,projects.BudgetItem,project,15,DELETE_WITH_PROJECT,CASCADE
7,projects.BudgetItem,project,12,DELETE_WITH_PROJECT,CASCADE
8,projects.BudgetItem,project,1,DELETE_WITH_PROJECT,CASCADE
9,projects.BudgetItem,project,0,DELETE_WITH_PROJECT,CASCADE
10,projects.BudgetItem,project,2,DELETE_WITH_PROJECT,CASCADE
11,projects.BudgetItem,project,2,DELETE_WITH_PROJECT,CASCADE
12,projects.BudgetItem,project,2,DELETE_WITH_PROJECT,CASCADE
13,projects.BudgetItem,project,0,DELETE_WITH_PROJECT,CASCADE
15,projects.BudgetItem,project,352,DELETE_WITH_PROJECT,CASCADE
1,projects.WBSItem,project,0,DELETE_WITH_PROJECT,CASCADE
2,projects.WBSItem,project,2,DELETE_WITH_PROJECT,CASCADE
4,projects.WBSItem,project,12,DELETE_WITH_PROJECT,CASCADE
5,projects.WBSItem,project,2,DELETE_WITH_PROJECT,CASCADE
6,projects.WBSItem,project,2,DELETE_WITH_PROJECT,CASCADE
7,projects.WBSItem,project,2,DELETE_WITH_PROJECT,CASCADE
8,projects.WBSItem,project,0,DELETE_WITH_PROJECT,CASCADE
9,projects.WBSItem,project,0,DELETE_WITH_PROJECT,CASCADE
10,projects.WBSItem,project,0,DELETE_WITH_PROJECT,CASCADE
11,projects.WBSItem,project,0,DELETE_WITH_PROJECT,CASCADE
12,projects.WBSItem,project,0,DELETE_WITH_PROJECT,CASCADE
13,projects.WBSItem,project,0,DELETE_WITH_PROJECT,CASCADE
15,projects.WBSItem,project,2,DELETE_WITH_PROJECT,CASCADE
1,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
2,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
4,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
5,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
6,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
7,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
8,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
9,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
10,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
11,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
12,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
13,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
15,projects.WBSChangeRequest,project,0,DELETE_WITH_PROJECT,CASCADE
1,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
2,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
4,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
5,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
6,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
7,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
8,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
9,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
10,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
