Model,Before_Count,Deleted_Count,After_Count,Result
LaborExcelExportBatch,0,0,0,PASS
LaborConfirmedWorkDay,0,0,0,PASS
LaborReconciliationResult,0,0,0,PASS
ElectronicCardWorkDay,0,0,0,PASS
ElectronicCardWorkRaw,0,0,0,PASS
ElectronicCardImportBatch,0,0,0,PASS
PayrollAllocationLine,0,0,0,PASS
LaborMonthlyPayroll,0,0,0,PASS
LaborWorkLedger,0,0,0,PASS
Timesheet,0,0,0,PASS
DailyProgress,0,0,0,PASS
PlanChangeRequest,0,0,0,PASS
ScheduleTask,0,0,0,PASS
SchedulePlan,0,0,0,PASS
CostActual,0,0,0,PASS
RevenueRecognition,0,0,0,PASS
CashEvent,0,0,0,PASS
ContractSnapshot,0,0,0,PASS
ContractChange,0,0,0,PASS
DailyReport,0,0,0,PASS
FieldReport,0,0,0,PASS
RiskFinding,0,0,0,PASS
RiskEvent,0,0,0,PASS
Adjustment,0,0,0,PASS
ProjectClose,0,0,0,PASS
ApprovalPackage,0,0,0,PASS
ApprovalRequest,0,0,0,PASS
WBSChangeRequest,0,0,0,PASS
BudgetItem,0,0,0,PASS
WBSItem,0,0,0,PASS
ProjectContract,0,0,0,PASS
ProjectAssignment,0,0,0,PASS
FavoriteCostItem,0,0,0,PASS
LaborRateTableProjectScope,0,0,0,PASS
IssueToWork,0,0,0,PASS
Transfer,0,0,0,PASS
InventoryLedger,0,0,0,PASS
Warehouse,0,0,0,PASS
Evidence,0,0,0,PASS
Project,0,0,0,PASS
