metric,value
source_revision,60534df
working_tree_clean,false
system_check,passed
model_migration_changes_detected,false
focused_regression_tests,25 passed
projects,1
project_contracts,1
budget_items,28
wbs_items,6
cost_items,312
cost_actuals,19
cost_actual_lines,23
revenue_recognitions,2
warehouses,2
item_masters,22
stock_records,12
inventory_ledger_records,48
transfers,13
transfer_lines,13
material_issues,8
material_issue_lines,12
worker_masters,10
timesheets,10
timesheet_lines,16
office_employee_profiles,3
office_payroll_runs,9
office_payslips,27
closing_periods,3
cash_events,18
advance_payments,1
progress_billings,2
billing_reports,4
expense_executions,15
daily_progress_records,18
daily_reports,11
field_reports,1
user_profiles,28
project_assignments,1
audit_logs,1849
roles_ceo,1
roles_hq,23
roles_field,4
closing_periods_closed,2
closing_periods_open,1
office_payroll_runs_approved,5
office_payroll_runs_draft,1
office_payroll_runs_paid,1
office_payroll_runs_void,2
payroll_allocation_batches_submitted,1
