code,name,cost_type,work_type
CB-M-01-001,토사(일반),M,01
CB-M-01-002,마사토,M,01
CB-M-01-003,쇄석(기층/보조기층),M,01
CB-M-01-004,자갈/잡석,M,01
CB-M-01-005,사토/모래,M,01
CB-M-01-006,토사반출(자재/처리),M,01
CB-M-01-007,토질개량재(석회/시멘트계),M,01
CB-M-01-008,지오텍스타일/부직포,M,01
CB-M-01-009,지오그리드/보강재,M,01
CB-M-01-010,배수판/드레인보드,M,01
CB-L-01-001,토공 인부(직영),L,01
CB-L-01-002,정지/다짐 작업반(직영),L,01
CB-L-01-003,굴착 작업반(직영),L,01
CB-L-01-004,측량 보조 인부,L,01
CB-E-01-001,굴삭기 임대,E,01
CB-E-01-002,덤프트럭 임대,E,01
CB-E-01-003,로더/스키드 임대,E,01
CB-E-01-004,콤팩터/롤러(다짐) 임대,E,01
CB-E-01-005,살수차/살수장비 임대,E,01
CB-E-01-006,토질시험/현장시험비,E,01
CB-S-01-001,토공 하도급,S,01
CB-S-01-002,터파기/되메우기 하도급,S,01
CB-S-01-003,사면정리/법면 하도급,S,01

CB-M-02-001,레미콘(보통강도),M,02
CB-M-02-002,레미콘(고강도),M,02
CB-M-02-003,레미콘(조기강도),M,02
CB-M-02-004,시멘트,M,02
CB-M-02-005,모르타르/그라우트,M,02
CB-M-02-006,혼화제/감수제,M,02
CB-M-02-007,양생포/양생재,M,02
CB-M-02-008,철망/와이어메쉬,M,02
CB-L-02-001,콘크리트 타설 인부,L,02
CB-L-02-002,미장/마감 보조,L,02
CB-L-02-003,콘크리트 보수 인부,L,02
CB-E-02-001,펌프카 임대,E,02
CB-E-02-002,바이브레이터/절단 장비,E,02
CB-E-02-003,공시체/강도시험비,E,02
CB-E-02-004,코어채취/비파괴시험비,E,02
CB-S-02-001,콘크리트 공사 하도급,S,02
CB-S-02-002,콘크리트 보수/보강 하도급,S,02

CB-M-03-001,철근 SD400,M,03
CB-M-03-002,철근 SD500,M,03
CB-M-03-003,결속선/타이와이어,M,03
CB-M-03-004,스페이서/받침재,M,03
CB-M-03-005,커플러/이음재,M,03
CB-M-03-006,철근 가공비(내역),M,03
CB-L-03-001,철근공(직영),L,03
CB-L-03-002,철근 가공/조립 보조,L,03
CB-L-03-003,철근 반장/관리,L,03
CB-E-03-001,절단/절곡기 임대,E,03
CB-E-03-002,양중장비(호이스트 등),E,03
CB-E-03-003,품질시험(인장/이음)비,E,03
CB-S-03-001,철근 공사 하도급,S,03
CB-S-03-002,철근 가공 외주,S,03

CB-M-04-001,아스콘(표층),M,04
CB-M-04-002,아스콘(기층),M,04
CB-M-04-003,프라이머/택코트,M,04
CB-M-04-004,노면표시 도료,M,04
CB-M-04-005,노면표시 유리비드,M,04
CB-M-04-006,포장보수재(콜드믹스),M,04
CB-L-04-001,포장 작업반(직영),L,04
CB-L-04-002,노면표시 인부,L,04
CB-E-04-001,피니셔 임대,E,04
CB-E-04-002,롤러 임대,E,04
CB-E-04-003,컷팅/천공 장비,E,04
CB-S-04-001,포장 공사 하도급,S,04
CB-S-04-002,노면표시 하도급,S,04

CB-M-05-001,PE관,M,05
CB-M-05-002,PVC관,M,05
CB-M-05-003,흄관,M,05
CB-M-05-004,맨홀자재(블록/링),M,05
CB-M-05-005,맨홀뚜껑/그레이팅,M,05
CB-M-05-006,밸브/부속,M,05
CB-M-05-007,토목섬유/필터재,M,05
CB-L-05-001,관로 시공 인부,L,05
CB-L-05-002,맨홀 시공 인부,L,05
CB-E-05-001,관로 시험비(수압/누수),E,05
CB-E-05-002,CCTV 조사비,E,05
CB-E-05-003,굴착/복구 장비비,E,05
CB-S-05-001,배수/상하수 공사 하도급,S,05
CB-S-05-002,관로 보수/갱생 하도급,S,05

CB-M-06-001,거푸집 합판,M,06
CB-M-06-002,강관비계/클램프,M,06
CB-M-06-003,동바리/서포트,M,06
CB-M-06-004,앵커/볼트/철물,M,06
CB-M-06-005,프리캐스트 부재,M,06
CB-M-06-006,방수/실링 자재(구조부),M,06
CB-L-06-001,형틀공(직영),L,06
CB-L-06-002,비계 설치 인부,L,06
CB-L-06-003,구조물 보수 인부,L,06
CB-E-06-001,크레인/카고크레인 임대,E,06
CB-E-06-002,비파괴/품질검사비,E,06
CB-S-06-001,구조물 공사 하도급,S,06
CB-S-06-002,PC 설치 하도급,S,06

CB-M-07-001,교목(일반),M,07
CB-M-07-002,관목(일반),M,07
CB-M-07-003,초화류(일반),M,07
CB-M-07-004,잔디(종자),M,07
CB-M-07-005,롤잔디,M,07
CB-M-07-006,지피식물,M,07
CB-M-07-007,비료(유기/복합),M,07
CB-M-07-008,퇴비/상토,M,07
CB-M-07-009,멀칭재(우드칩/수피),M,07
CB-M-07-010,부직포(식재용),M,07
