Step,Workflow,Input_Source,Execution_Mode,Actor_Role,Route_or_Model,Expected_Result,Actual_Result,PASS_FAIL_HOLD,Evidence,Notes
1,프로젝트 마스터,OPS-1A 프로젝트 템플릿,SAMPLE_ONLY_DRYRUN,HQ,/app/hq/projects/new/; Project,실제 공사 생성,템플릿 부재로 미실행,HOLD,ops1b_05_ops1a_csv_list.txt,OPS1B-001
2,FIELD 배정,격리 fixture,TEST_CLIENT,HQ/FIELD,ProjectAssignment; /app/field/,배정 현장만 접근,권한 경로 PASS,PASS,ops1b_18_23_pytest_baseline.txt,AUDIT-9
3,CBS WBS 예산,격리 fixture,TEST_CLIENT,HQ,CostItem; WBSItem; BudgetItem,기준선 생성 및 연결,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,실입력 보류
4,계약 Snapshot,격리 fixture,TEST_CLIENT,HQ,ContractSnapshot,계약금액 기준 확보,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,실금액 미입력
5,FIELD 진행률,격리 fixture,TEST_CLIENT,FIELD,/app/field/?tab=progress,작업 선택 임시저장 제출,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,AUDIT-7/AUDIT-9
6,LABPAY 전자카드,임시 XLSX fixture,TEST_CLIENT,HQ,/app/hq/labor/e-card-imports/,파싱 대사 확정 재업로드,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,AUDIT-6
7,원가 입력,격리 fixture,TEST_CLIENT,HQ/FIELD,CostActual; CostActualLine,프로젝트 원가 집계,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,실원가 미입력
8,수익 인식,격리 fixture,TEST_CLIENT,HQ,RevenueRecognition,수익 및 이익 계산,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,정책 확인 필요
9,CEO dashboard,격리 fixture,TEST_CLIENT,CEO,/app/ceo/,프로젝트 KPI 표시,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,OPS1B-003
10,월 마감,격리 fixture,TEST_CLIENT,HQ/FIELD,close_month; FIELD progress,마감 후 변경 차단,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,AUDIT-9
11,AuditLog 개인정보,격리 fixture,TEST_CLIENT,HQ,AuditLog,식별정보 원문 미노출,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,AUDIT-6/AUDIT-9
12,Excel 다운로드,임시 XLSX fixture,TEST_CLIENT,HQ,/app/hq/labor/excel-exports/<id>/download/,파일 생성 및 권한 확인,자동 회귀 PASS,PASS,ops1b_18_23_pytest_baseline.txt,AUDIT-5/AUDIT-6
