Source_Model,Source_ID,Action,Object_Type,Object_ID,Project_ID,Project_Exists,Project_Code,Project_Name,Project_Is_Active,Object_Exists_If_Resolvable,Is_Approval_Action,Dashboard_Currently_Visible,Should_Be_Dashboard_Visible,Classification,Recommended_Action,Reason
AuditLog,1051,APPROVAL_APPROVE,APPROVAL_REQUEST,12,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,1050,APPROVAL_APPROVE,APPROVAL_REQUEST,13,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,955,APPROVAL_APPROVE,APPROVAL_REQUEST,11,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,947,APPROVAL_APPROVE,APPROVAL_REQUEST,10,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,940,APPROVAL_APPROVE,APPROVAL_REQUEST,9,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,933,APPROVAL_APPROVE,APPROVAL_REQUEST,8,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,567,APPROVAL_APPROVE,APPROVAL_REQUEST,7,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,565,APPROVAL_REJECT,APPROVAL_REQUEST,5,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,81,APPROVAL_REJECT,APPROVAL_REQUEST,6,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,31,APPROVAL_REJECT,APPROVAL_REQUEST,3,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,30,APPROVAL_APPROVE,APPROVAL_REQUEST,2,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,27,APPROVAL_REJECT,APPROVAL_REQUEST,2,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
